,ligand,receptor,pathway,ligand_annotation,TF
Col6a1|Sdc4,Col6a1,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col6a2|Sdc4,Col6a2,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col6a3|Sdc4,Col6a3,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col6a5|Sdc4,Col6a5,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col6a6|Sdc4,Col6a6,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col9a1|Sdc4,Col9a1,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col9a2|Sdc4,Col9a2,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col9a3|Sdc4,Col9a3,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col1a1|Gp6,Col1a1,Gp6,COLLAGEN,Secreted,
Col1a2|Gp6,Col1a2,Gp6,COLLAGEN,Secreted,
Col2a1|Gp6,Col2a1,Gp6,COLLAGEN,Secreted,
Col4a1|Gp6,Col4a1,Gp6,COLLAGEN,Secreted,
Col4a2|Gp6,Col4a2,Gp6,COLLAGEN,Secreted,
Col4a3|Gp6,Col4a3,Gp6,COLLAGEN,Secreted,
Col4a4|Gp6,Col4a4,Gp6,COLLAGEN,Secreted,
Col4a5|Gp6,Col4a5,Gp6,COLLAGEN,Secreted,
Col4a6|Gp6,Col4a6,Gp6,COLLAGEN,Secreted,
Col6a1|Gp6,Col6a1,Gp6,COLLAGEN,Secreted,
Col6a2|Gp6,Col6a2,Gp6,COLLAGEN,Secreted,
Col6a3|Gp6,Col6a3,Gp6,COLLAGEN,Secreted,
Col6a5|Gp6,Col6a5,Gp6,COLLAGEN,Secreted,
Col6a6|Gp6,Col6a6,Gp6,COLLAGEN,Secreted,
Col9a1|Gp6,Col9a1,Gp6,COLLAGEN,Secreted,
Col9a2|Gp6,Col9a2,Gp6,COLLAGEN,Secreted,
Col9a3|Gp6,Col9a3,Gp6,COLLAGEN,Secreted,
Colq|Musk,Colq,Musk,COLQ,Secreted,
C3|C3ar1,C3,C3ar1,COMPLEMENT,Secreted,
C3|Cr2,C3,Cr2,COMPLEMENT,Secreted,Stat5a
C3|COMPLEX:Itgam_Itgb2l,C3,COMPLEX:Itgam_Itgb2l,COMPLEMENT,Secreted,"Nfatc1, Nfkb1, Sp1, Thra, Rela, Fos, Stat3, Nfatc3, Nfatc2, Jun"
C3|COMPLEX:Itgax_Itgb2l,C3,COMPLEX:Itgax_Itgb2l,COMPLEMENT,Secreted,"Nfatc1, Nfkb1, Sp1, Thra, Rela, Fos, Stat3, Nfatc3, Nfatc2, Jun"
C4b|C3ar1,C4b,C3ar1,COMPLEMENT,Secreted,
C4b|Cr2,C4b,Cr2,COMPLEMENT,Secreted,Stat5a
Hc|C5ar1,Hc,C5ar1,COMPLEMENT,Secreted,
Mug2|Sctr,Mug2,Sctr,CPAMD8,Secreted,
Cr2|Cd19,Cr2,Cd19,CR2,unSecreted,"Nfatc1, Nfkb1, Thra, Rela, Fos, Nfatc3, Nfatc2, Stat5a, Jun"
Cr2|Cd81,Cr2,Cd81,CR2,unSecreted,
Crh|Crhr1,Crh,Crhr1,CRH,Secreted,"Nr4a1, Creb5, Creb3, Atf2, Atf6b, Atf4, Creb3l1, Creb3l4, Creb1, Creb3l3, Creb3l2"
Crh|Crhr2,Crh,Crhr2,CRH,Secreted,"Nr4a1, Creb5, Creb3, Atf2, Atf6b, Atf4, Creb3l1, Creb3l4, Creb1, Creb3l3, Creb3l2"
Crlf1|Cntfr,Crlf1,Cntfr,CRLF1,unSecreted,"Myc, Stat6, Stat2, Stat1, Stat4, Stat3, Dbp, Irf9, Stat5a, Stat5b"
Crtam|Cadm1,Crtam,Cadm1,CRTAM,unSecreted,
Csf3|Csf2ra,Csf3,Csf2ra,CSF,Secreted,"Myc, Stat6, Runx3, Stat2, Stat1, Stat4, Stat3, Dbp, Gtf2i, Irf9, Stat5a, Hif1a, Atoh1, Stat5b"
Csf3|Csf3r,Csf3,Csf3r,CSF,Secreted,"Myc, Stat6, Stat2, Stat1, Stat4, Stat3, Dbp, Gtf2i, Irf9, Stat5a, Atoh1, Stat5b"
Csf2|COMPLEX:Csf2ra_Csf2rb2,Csf2,COMPLEX:Csf2ra_Csf2rb2,CSF,Secreted,"Thra, Stat3, Runx3, Stat2, Stat1, Rela, Dbp, Stat5a, Hif1a, Atoh1, Nfkb1, Irf9, Stat5b, Myc, Stat6, Nfkbia, Stat4, Ikbkb, Gtf2i"
Csf2|Il3ra,Csf2,Il3ra,CSF,Secreted,"Thra, Stat3, Runx3, Stat2, Stat1, Rela, Dbp, Stat5a, Hif1a, Atoh1, Nfkb1, Irf9, Stat5b, Myc, Stat6, Nfkbia, Stat4, Ikbkb, Gtf2i"
Csf2|Sdc2,Csf2,Sdc2,CSF,Secreted,"Nfatc1, Ar, Esr1, Nfatc3, Nfatc2, Creb1"
Csf2|Csf3r,Csf2,Csf3r,CSF,Secreted,"Myc, Stat6, Stat2, Stat1, Stat4, Stat3, Dbp, Gtf2i, Irf9, Stat5a, Atoh1, Stat5b"
Csf1|Csf1r,Csf1,Csf1r,CSF,Secreted,"Nr4a1, Foxo3, Brca1, Creb5, Thra, Creb3l1, Atf6b, Creb3l4, Rxra, Rela, Creb3l3, Trp53, Nfkb1, Atf4, Creb3l2, Myc, Rbl2, Atf2, Creb3, Ikbkb, Myb, Creb1, Mdm2"
Csf1|Csf2ra,Csf1,Csf2ra,CSF,Secreted,"Myc, Stat6, Runx3, Stat2, Stat1, Stat4, Stat3, Dbp, Gtf2i, Irf9, Stat5a, Hif1a, Atoh1, Stat5b"
Csf1|Csf3r,Csf1,Csf3r,CSF,Secreted,"Myc, Stat6, Stat2, Stat1, Stat4, Stat3, Dbp, Gtf2i, Irf9, Stat5a, Atoh1, Stat5b"
Il34|Csf1r,Il34,Csf1r,CSF,Secreted,"Nr4a1, Foxo3, Brca1, Creb5, Thra, Creb3l1, Atf6b, Creb3l4, Rxra, Rela, Creb3l3, Trp53, Nfkb1, Atf4, Creb3l2, Myc, Rbl2, Atf2, Creb3, Ikbkb, Myb, Creb1, Mdm2"
Gh|Prlr,Gh,Prlr,GH,Secreted,"Myc, Stat6, Foxo3, Irf1, Stat2, Esr2, Esr1, Stat1, Stat4, Stat3, Fos, Dbp, Elf5, Gtf2i, Irf9, Stat5a, Atoh1, Stat5b"
Cspg4|COMPLEX:Itga3_Itgb1,Cspg4,COMPLEX:Itga3_Itgb1,CSPG4,unSecreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Cthrc1|Fzd6,Cthrc1,Fzd6,CTHRC1,Secreted,"Myc, Esrrb, Smad3, Nfatc1, Tcf7l2, Tcf3, Mitf, Nfatc4, Fosl1, Tcf7l1, Nfatc3, Lef1, Nfatc2, Ctnnb1, Ppard, Tcf7, Jun"
Cthrc1|Ror2,Cthrc1,Ror2,CTHRC1,Secreted,"Irf3, Stat3, Jund, Elk1, Jun, Sp1, Foxo4, Elk4, Jdp2, Esr1, Stat1, Stat5a, Smad5, Junb, Trp53, Twist1, Smad9, Rara, Smad3, Pax2, Myc, Atf2, Smad1, Smad4"
Cthrc1|Fzd5,Cthrc1,Fzd5,CTHRC1,Secreted,"Myc, Esrrb, Smad3, Nfatc1, Tcf7l2, Tcf3, Mitf, Nfatc4, Fosl1, Tcf7l1, Nfatc3, Lef1, Nfatc2, Ctnnb1, Ppard, Tcf7, Jun"
Cthrc1|Fzd3,Cthrc1,Fzd3,CTHRC1,Secreted,"Tcf7l2, Nfatc4, Thra, Tcf7l1, Stat3, Jun, Tcf3, Fosl1, Ppard, Mitf, Nfatc3, Ctnnb1, Tcf7, Myc, Esrrb, Smad3, Nfatc1, Lef1, Nfatc2"
Cx3cl1|Itgb3,Cx3cl1,Itgb3,CX3C,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Cx3cl1|Cx3cr1,Cx3cl1,Cx3cr1,CX3C,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl11|Ccr5,Cxcl11,Ccr5,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Dbp, Ikbkb, Stat4, Stat5a, Stat5b"
Cxcl13|Ccr10,Cxcl13,Ccr10,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl13|Ackr4,Cxcl13,Ackr4,CXCL,Secreted,
Cxcl14|Cxcr4,Cxcl14,Cxcr4,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Dbp, Ikbkb, Stat4, Stat5a, Stat5b"
Cxcl10|Sdc4,Cxcl10,Sdc4,CXCL,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Cxcl1|Xcr1,Cxcl1,Xcr1,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl12|Cd4,Cxcl12,Cd4,CXCL,Secreted,"Relb, Hivep3, Nfatc1, Nfkb1, Rxra, Esr1, Stat1, Rela, Fos, Rel, Nfatc3, Nfatc2, Stat5a, Nfkb2, Nr1h3, Jun"
Cxcl12|Itgb1,Cxcl12,Itgb1,CXCL,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Cxcl12|Sdc4,Cxcl12,Sdc4,CXCL,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Cxcl12|Cxcr3,Cxcl12,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl17|Gpr35,Cxcl17,Gpr35,CXCL,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Pf4|Ackr1,Pf4,Ackr1,CXCL,Secreted,
Ppbp|Cxcr1,Ppbp,Cxcr1,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Ppbp|Ackr1,Ppbp,Ackr1,CXCL,Secreted,
Cxcr4|Ccr5,Cxcr4,Ccr5,CXCL,unSecreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Dbp, Ikbkb, Stat4, Stat5a, Stat5b"
Cxcl1|Ackr1,Cxcl1,Ackr1,CXCL,Secreted,
Cxcl2|Ackr1,Cxcl2,Ackr1,CXCL,Secreted,
Cxcl5|Ackr1,Cxcl5,Ackr1,CXCL,Secreted,
Cxcl9|Ackr1,Cxcl9,Ackr1,CXCL,Secreted,
Cxcl10|Ackr1,Cxcl10,Ackr1,CXCL,Secreted,
Cxcl11|Ackr1,Cxcl11,Ackr1,CXCL,Secreted,
Cxcl13|Ackr1,Cxcl13,Ackr1,CXCL,Secreted,
Cxcl1|Cxcr1,Cxcl1,Cxcr1,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl2|Cxcr1,Cxcl2,Cxcr1,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl5|Cxcr1,Cxcl5,Cxcr1,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl1|Cxcr2,Cxcl1,Cxcr2,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl2|Cxcr2,Cxcl2,Cxcr2,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl5|Cxcr2,Cxcl5,Cxcr2,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Ppbp|Cxcr2,Ppbp,Cxcr2,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl9|Cxcr3,Cxcl9,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl10|Cxcr3,Cxcl10,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl11|Cxcr3,Cxcl11,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl13|Cxcr3,Cxcl13,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Pf4|Cxcr3,Pf4,Cxcr3,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl12|Cxcr4,Cxcl12,Cxcr4,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Dbp, Ikbkb, Stat4, Stat5a, Stat5b"
Cxcl11|Ackr3,Cxcl11,Ackr3,CXCL,Secreted,
Cxcl12|Ackr3,Cxcl12,Ackr3,CXCL,Secreted,
Cxcl13|Cxcr5,Cxcl13,Cxcr5,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Cxcl16|Cxcr6,Cxcl16,Cxcr6,CXCL,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Dcc|Adora2b,Dcc,Adora2b,DCC,unSecreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Dcn|Tlr4,Dcn,Tlr4,DCN,Secreted,"Nr4a1, Nr3c1, Foxo3, Mef2b, Thra, Sp7, Creb5, Esr2, Cebpb, Vdr, Creb3l1, Atf6b, Stat3, Ddit3, Ets2, Erf, Creb3l4, Gata2, Elk1, Jun, Hsf1, Mef2a, Sp1, Elk4, Tcf3, Ar, Esr1, Stat1, Traf6, Rela, Fos, Hif1a, Ets1, Mef2c, Junb, Trp53, Usf1, Nfkb1, Mitf, Nfatc3, Atf4, Twist1, Atf6, Rara, Dlx5, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Hbp1, Atf2, Creb3, Stat4, Elk3, Runx2, Nfatc2, Creb1, Mef2d, Thrb"
Dcn|Tlr2,Dcn,Tlr2,DCN,Secreted,"Nfkb1, Vdr, Rela, Fos, Jun"
Dcn|Met,Dcn,Met,DCN,Secreted,"Nr4a1, Tfap4, Foxo3, Tcf7l2, Brca1, Creb5, Thra, Tcf7l1, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Foxo1, Jun, Sp1, Runx3, Rxra, Stat2, Rela, Fos, Traf6, Stat1, Stat5a, Hif1a, Ets1, Creb3l3, Trp53, Nfkb1, Atf4, Gata4, Irf9, Ctnnb1, Nfkb2, Stat5b, Creb3l2, Tcf7, Myc, Rbl2, Stat6, Nfkbia, Atf2, Creb3, Stat4, Ikbkb, Myb, Lef1, Creb1, Mdm2"
Dcn|Kdr,Dcn,Kdr,DCN,Secreted,"Nr4a1, Foxo3, Mef2b, Brca1, Creb5, Thra, Esr2, Cebpb, Creb3l1, Atf6b, Creb3l4, Stat3, Jund, Elk1, Foxo1, Ahctf1, Jun, Mef2a, Sp1, Foxo4, Mlxipl, Tcf3, Rxra, Stat2, Fosb, Ar, Fosl1, Rela, Stat1, Esr1, Fos, Stat5a, Creb3l3, Mef2c, Junb, Trp53, Nfkb1, Nfatc3, Atf4, Irf9, Ctnnb1, Stat5b, Creb3l2, Myc, Smad3, Rbl2, Stat6, Nfatc1, Atf2, Creb3, Stat4, Ikbkb, Myb, Foxo6, Fosl2, Nfatc2, Creb1, Mdm2, Mef2d"
Dcn|Erbb4,Dcn,Erbb4,DCN,Secreted,"Nr4a1, Tfap4, Foxo3, Pgr, Brca1, Creb5, Esr2, Thra, Creb3l1, Atf6b, Creb3l4, Mxd4, Runx3, Rxra, Ar, Esr1, Rela, Stat5a, Hif1a, Creb3l3, Xbp1, Trp53, Nfkb1, Atf4, Ctnnb1, Rara, Stat5b, Creb3l2, Pparg, Myc, Rbl2, Atf2, Creb3, Ikbkb, Myb, Gata3, Creb1, Mdm2"
Defb14|Ccr2,Defb14,Ccr2,DEFB,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Defb14|Ccr6,Defb14,Ccr6,DEFB,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Stat4, Ikbkb, Stat5a, Stat5b"
Dsc2|Dsg3,Dsc2,Dsg3,DESMOSOME,unSecreted,
Dsc2|Dsg4,Dsc2,Dsg4,DESMOSOME,unSecreted,
Dsc1|Dsg3,Dsc1,Dsg3,DESMOSOME,unSecreted,
Dsc1|Dsg4,Dsc1,Dsg4,DESMOSOME,unSecreted,
Dsg2|Dsc1,Dsg2,Dsc1,DESMOSOME,unSecreted,
Dsc3|Dsg3,Dsc3,Dsg3,DESMOSOME,unSecreted,
Dsc3|Dsg1c,Dsc3,Dsg1c,DESMOSOME,unSecreted,
Dsc3|Dsg2,Dsc3,Dsg2,DESMOSOME,unSecreted,
Dsc3|Dsg4,Dsc3,Dsg4,DESMOSOME,unSecreted,
Dsc1|Dsg1c,Dsc1,Dsg1c,DESMOSOME,unSecreted,
Dsc1|Dsg2,Dsc1,Dsg2,DESMOSOME,unSecreted,
Dsc2|Dsg1c,Dsc2,Dsg1c,DESMOSOME,unSecreted,
Dsc2|Dsg2,Dsc2,Dsg2,DESMOSOME,unSecreted,
Dsg1c|Dsc3,Dsg1c,Dsc3,DESMOSOME,unSecreted,
Dsg2|Dsc3,Dsg2,Dsc3,DESMOSOME,unSecreted,
Dkk1|Kremen2,Dkk1,Kremen2,DKK,Secreted,
Dkk1|Kremen1,Dkk1,Kremen1,DKK,Secreted,"Smad3, Jun"
Dkk2|Lrp6,Dkk2,Lrp6,DKK,Secreted,"Myc, Smad3, Hsf1, Mlxipl, Tcf7l2, Arntl, Fosl1, Tcf7l1, Gli3, Clock, Lef1, Gli2, Foxm1, Ctnnb1, Ppard, Tbp, Tcf7, Jun"
Dkk2|Kremen2,Dkk2,Kremen2,DKK,Secreted,
Dkk2|Kremen1,Dkk2,Kremen1,DKK,Secreted,"Smad3, Jun"
Dkk4|Kremen2,Dkk4,Kremen2,DKK,Secreted,
Dkk4|Kremen1,Dkk4,Kremen1,DKK,Secreted,"Smad3, Jun"
Dmp1|COMPLEX:Itgav_Itgb3,Dmp1,COMPLEX:Itgav_Itgb3,DMP1,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Dspp|COMPLEX:Itgav_Itgb1,Dspp,COMPLEX:Itgav_Itgb1,DSPP,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Runx3, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Hif1a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Dspp|COMPLEX:Itgav_Itgb6,Dspp,COMPLEX:Itgav_Itgb6,DSPP,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Eda|Eda2r,Eda,Eda2r,EDA,Secreted,
Eda|Edar,Eda,Edar,EDA,Secreted,Traf6
Edil3|COMPLEX:Itgav_Itgb3,Edil3,COMPLEX:Itgav_Itgb3,EDIL3,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Edn1|Ednrb,Edn1,Ednrb,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Atf6b, Creb3l4, Foxo1, Smad2, Jun, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Atf4, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfkbia, Atf2, Creb3, Ikbkb, Lef1, Creb1, Mdm2"
Edn1|Ednra,Edn1,Ednra,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Gli3, Creb3l4, Foxo1, Jun, Crebbp, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfatc1, Gli1, Nfkbia, Creb3, Ikbkb, Sox9, Ppara, Lef1, Creb1, Mdm2"
Edn3|Ednrb,Edn3,Ednrb,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Atf6b, Creb3l4, Foxo1, Smad2, Jun, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Atf4, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfkbia, Atf2, Creb3, Ikbkb, Lef1, Creb1, Mdm2"
Edn3|Ednra,Edn3,Ednra,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Gli3, Creb3l4, Foxo1, Jun, Crebbp, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfatc1, Gli1, Nfkbia, Creb3, Ikbkb, Sox9, Ppara, Lef1, Creb1, Mdm2"
Edn2|Ednrb,Edn2,Ednrb,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Atf6b, Creb3l4, Foxo1, Smad2, Jun, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Atf4, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfkbia, Atf2, Creb3, Ikbkb, Lef1, Creb1, Mdm2"
Edn2|Ednra,Edn2,Ednra,EDN,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Gli3, Creb3l4, Foxo1, Jun, Crebbp, Rela, Fos, Traf6, Creb3l3, Ets1, Trp53, Nfkb1, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfatc1, Gli1, Nfkbia, Creb3, Ikbkb, Sox9, Ppara, Lef1, Creb1, Mdm2"
